,Sector,alpha,beta
IONS,xlv,-0.0137007793648,1.7112
TSRO,xlv,-0.012389330179,1.6989
ALGN,xlv,-0.00904449007304,1.0845
DXCM,xlv,-0.00810727918498,1.2726
ICPT,xlv,-0.00577753652429,1.6601
JUNO,xlv,-0.00537766728388,1.6525
BSX,xlv,-0.00477484074378,1.0029
EW,xlv,-0.0046937926183,0.9701
VAR,xlv,-0.00419111744462,0.969
ABMD,xlv,-0.00354601215756,1.1252
DHR,xlv,-0.00310170526048,0.9155
LLY,xlv,-0.00309059985079,0.8436
GILD,xlv,-0.00292540189037,1.0409
COO,xlv,-0.00280932005221,0.6884
ISRG,xlv,-0.00266667239885,0.845
HOLX,xlv,-0.00260143840385,0.9605
STE,xlv,-0.00250247642565,0.9925
ZTS,xlv,-0.00239465454703,0.97
WAT,xlv,-0.00238833553396,0.9483
BMY,xlv,-0.00237633770676,0.8497
CERN,xlv,-0.00236386006128,0.9427
JNJ,xlv,-0.0023035406405,0.7006
HLF,xlv,-0.00189485787758,1.0737
HRC,xlv,-0.00130436078385,0.8298
ANTM,xlv,-0.00105985064134,0.9131
MMM,xlv,-0.000912419212561,0.8318
CNC,xlv,-0.000412381878249,0.9959
AKRX,xlv,-8.02064603994e-05,1.3517
WCG,xlv,-5.83410562665e-05,0.9908
RMD,xlv,-3.97285850208e-05,0.792
CI,xlv,0.000309390754297,0.7897
TFX,xlv,0.000392721852878,0.7977
AMGN,xlv,0.000587526216358,1.2721
BDX,xlv,0.000641683189388,0.8191
DVA,xlv,0.000654610813052,0.7244
MTD,xlv,0.000841358952093,1.0759
HUM,xlv,0.000851488027719,0.7226
TMO,xlv,0.000910938114572,1.0784
A,xlv,0.000998114446874,1.2657
CRL,xlv,0.00104568140583,1.006
MDT,xlv,0.00115606810803,0.5491
SGEN,xlv,0.00115961155244,1.4256
SYK,xlv,0.00125882917465,0.8542
AET,xlv,0.00139632356621,1.0249
OPK,xlv,0.00143254301204,1.2726
DGX,xlv,0.00165618206286,0.9443
UNH,xlv,0.00170962493546,0.94
LH,xlv,0.00185027210891,0.8324
INCY,xlv,0.0018967328374,1.5381
NUS,xlv,0.00194915016476,1.0609
QGEN,xlv,0.00197425552615,1.0828
MRK,xlv,0.00224847413945,0.9029
PFE,xlv,0.00227741308843,0.8044
MCK,xlv,0.00258987987115,0.9559
CELG,xlv,0.00259723214746,1.3299
CVS,xlv,0.00282064035428,0.7704
IDXX,xlv,0.00303950890705,0.7756
CAH,xlv,0.00311147649252,0.9697
BAX,xlv,0.00342369434568,0.708
AGN,xlv,0.00345866118623,1.0344
ABBV,xlv,0.00347369538319,0.9974
HSIC,xlv,0.00353959364264,0.8636
VRTX,xlv,0.00366123681515,1.5752
TECH,xlv,0.00434525626229,0.7385
XRAY,xlv,0.00441423318864,0.8574
ABC,xlv,0.00461166794079,0.717
PKI,xlv,0.00486849663361,1.0947
HCA,xlv,0.0049734377385,0.8767
WBA,xlv,0.00504799013771,0.9557
ALKS,xlv,0.00508897819531,1.3667
REGN,xlv,0.00558861734057,1.2928
ILMN,xlv,0.00590993733465,1.2807
ZBH,xlv,0.00623739629411,0.9157
ALNY,xlv,0.00623985730537,1.9001
BIVV,xlv,0.00642388494336,0.8784
BIIB,xlv,0.00642495620216,1.2694
ABT,xlv,0.00645859105224,1.1145
UHS,xlv,0.00664396858058,0.9345
ACAD,xlv,0.00685004626066,1.9183
ESRX,xlv,0.00696978072941,0.8837
PDCO,xlv,0.00703655063574,0.8798
PRGO,xlv,0.00717170824837,0.8893
ACHC,xlv,0.00760863257096,1.2938
UTHR,xlv,0.00771611819101,1.0846
MNK,xlv,0.00788579380603,1.4726
MD,xlv,0.00804672093793,0.7635
EVHC,xlv,0.00875191928433,0.9264
BMRN,xlv,0.0088279831996,1.3481
AGIO,xlv,0.00985459037416,1.9583
BKD,xlv,0.00992110621799,1.1871
MYL,xlv,0.0117727658786,1.3729
ALXN,xlv,0.0127854213218,1.3599
ENDP,xlv,0.0128483104186,1.5665
XON,xlv,0.0147105725136,1.8235
LPNT,xlv,0.0148628872675,0.9165
NBIX,xlv,0.0176377505323,1.7912
EXEL,xlv,0.0224243623494,1.706
RAD,xlv,0.0232792761228,0.932
BCR,xlv,,0.7601
Q,xlv,,0.8947
